y;x
1,02020134;1
1,040810774;2
1,061836547;3
1,083287068;4
1,105170918;5
1,127496852;6
1,150273799;7
1,173510871;8
1,197217363;9
1,221402758;10
1,246076731;11
1,27124915;12
1,296930087;13
1,323129812;14
1,349858808;15
1,377127764;16
1,404947591;17
1,433329415;18
1,462284589;19
1,491824698;20
1,521961556;21
1,552707219;22
1,584073985;23
1,616074402;24
1,648721271;25
1,68202765;26
1,716006862;27
1,7506725;28
1,786038431;29
1,8221188;30
1,858928042;31
1,896480879;32
1,934792334;33
1,973877732;34
2,013752707;35
2,054433211;36
2,095935514;37
2,13827622;38
2,181472265;39
2,225540928;40
2,270499838;41
2,316366977;42
2,363160694;43
2,410899706;44
2,459603111;45
2,50929039;46
2,559981418;47
2,611696473;48
2,664456242;49
2,718281828;50
2,773194764;51
2,829217014;52
2,886370989;53
2,944679551;54
3,004166024;55
3,064854203;56
3,126768365;57
3,189933276;58
3,254374203;59
3,320116923;60
3,387187734;61
3,455613465;62
3,525421487;63
3,596639726;64
3,669296668;65
3,743421377;66
3,819043505;67
3,896193302;68
3,974901627;69
4,055199967;70
4,13712044;71
4,220695817;72
4,305959528;73
4,392945681;74
4,48168907;75
4,572225195;76
4,664590271;77
4,758821245;78
4,854955811;79
4,953032424;80
5,053090317;81
5,155169512;82
5,259310844;83
5,365555971;84
5,473947392;85
5,584528464;86
5,697343423;87
5,812437394;88
5,929856419;89
6,049647464;90
6,17185845;91
6,296538261;92
6,423736771;93
6,553504862;94
6,685894442;95
6,820958469;96
6,958750971;97
7,099327065;98
7,242742985;99
7,389056099;100
7,538324934;101
7,690609199;102
7,84596981;103
8,004468914;104
8,166169913;105
8,331137488;106
8,499437629;107
8,671137658;108
8,846306259;109
9,025013499;110
9,207330866;111
9,393331287;112
9,583089167;113
9,77668041;114
9,974182455;115
10,17567431;116
10,38123656;117
10,59095145;118
10,80490286;119
11,02317638;120
11,24585931;121
11,47304074;122
11,70481154;123
11,94126442;124
12,18249396;125
12,42859666;126
12,67967097;127
12,93581732;128
13,19713816;129
13,46373804;130
13,73572359;131
14,01320361;132
14,2962891;133
14,5850933;134
14,87973172;135
15,18032224;136
15,4869851;137
15,79984295;138
16,11902095;139
16,44464677;140
16,77685067;141
17,11576554;142
17,46152694;143
17,81427318;144
18,17414537;145
18,54128746;146
18,91584631;147
19,29797176;148
19,68781664;149
20,08553692;150
20,49129168;151
20,90524324;152
21,32755716;153
21,7584024;154
22,19795128;155
22,64637964;156
23,10386686;157
23,57059593;158
24,04675355;159
24,5325302;160
25,02812018;161
25,53372175;162
26,04953714;163
26,5757727;164
27,11263892;165
27,66035056;166
28,21912671;167
28,78919088;168
29,37077111;169
29,96410005;170
30,56941502;171
31,18695817;172
31,81697651;173
32,45972208;174
33,11545196;175
33,78442846;176
34,46691919;177
35,16319715;178
35,87354085;179
36,59823444;180
37,33756782;181
38,09183673;182
38,86134287;183
39,64639407;184
40,44730436;185
41,26439411;186
42,09799016;187
42,94842598;188
43,81604174;189
44,70118449;190
45,60420832;191
46,52547444;192
47,46535137;193
48,42421507;194
49,40244911;195
50,40044478;196
51,4186013;197
52,45732595;198
53,51703423;199
54,59815003;200
